radius SMD_LS SMD_LS_err SMD_WD SMD_WD_err SMD_NS SMD_NS_err SMD_BH SMD_BH_err SMD_tot SMD_tot_err
0.5 906.4 906.4 204.777 204.777 27.117 27.117 56.747 56.747 2462.953 776074671604.806
1.5 281.156 281.156 65.207 65.207 8.116 8.116 18.59 18.59 744.823 60032265557.173
2.5 109.576 109.576 23.879 23.879 3.031 3.031 6.964 6.964 285.958 6893959148.987
3.5 66.655 66.655 14.807 14.807 1.84 1.84 4.147 4.147 173.413 2637711398.422
4.5 56.587 56.587 11.205 11.205 1.504 1.504 3.362 3.362 144.325 1724772046.33
5.5 52.485 52.485 9.93 9.93 1.37 1.37 3.106 3.106 132.474 1513320265.053
6.5 41.512 41.512 7.123 7.123 1.027 1.027 2.388 2.388 102.865 884516720.034
7.5 38.296 38.296 6.539 6.539 0.951 0.951 2.179 2.179 94.335 762301608.394
8.5 23.513 23.513 3.725 3.725 0.566 0.566 1.297 1.297 57.427 271545106.385
9.5 14.101 14.101 2.108 2.108 0.334 0.334 0.774 0.774 34.551 101365656.428
10.5 9.636 9.636 1.347 1.347 0.223 0.223 0.513 0.513 23.399 49614932.118
11.5 6.764 6.764 0.876 0.876 0.151 0.151 0.347 0.347 16.143 27409169.714
12.5 4.129 4.129 0.573 0.573 0.097 0.097 0.22 0.22 10.017 10128565.056
13.5 2.527 2.527 0.349 0.349 0.057 0.057 0.135 0.135 6.089 4080072.334
14.5 1.337 1.337 0.212 0.212 0.034 0.034 0.076 0.076 3.349 1321339.526
15.5 0.555 0.555 0.086 0.086 0.013 0.013 0.03 0.03 1.345 227714.407
16.5 0.304 0.304 0.047 0.047 0.007 0.007 0.016 0.016 0.756 75142.477
